fecha,deporte,mercado,partido,pick,pitcher_info,resultado_1i,acierto,notas
2026-07-06,MLB,1er inning,Yankees @ Rays,NRFI (no carrera),Schlittler 2.08 / Jax 3.22 (ambos ases maxERA 3.2),0 carreras (NRFI),GANO,zona extrema ambos-ases
2026-07-06,MLB,1er inning,Astros @ Nationals,YRFI (si carrera),Burrows 5.56 / Mikolas 5.87 (flojos maxERA 5.9),2 carreras (YRFI),GANO,zona extrema pitcher-flojo
